Site,pcb84,pcb85
Casco Bay,95.28,77.55
Merrimack River,52.97,29.23
Salem Harbor,533.58,403.1
Boston Harbor,17104.86,736
Buzzards' Bay,308.46,192.15
Narragansett Bay,159.96,220.6
E. Long Island Sound,10,8.62
W. Long Island Sound,234.43,174.31
Raritan Bay,443.89,529.28
Delaware Bay,2.5,130.67
Lower Chesapeake Bay,51,39.74
Pamilico Sound,0,0
Charleston Harbor,9.1,8.43
Sapelo Sound,0,0
St. Johns River,140,120.04
Tampa Bay,0,0
Apalachicola Bay,12,11.93
Mobile Bay,0,0
Round Island,0,0
Mississippi R. Delta,34,30.14
Barataria Bay,0,0
San Antonio Bay,0,0
Corpus Christi Bay,0,0
San Diego Harbor,422.1,531.67
San Diego Bay,6.74,9.3
Dana Point,7.06,5.74
Seal Beach,46.71,46.47
San Pedro Canyon,159.56,176.9
Santa Monica Bay,14,13.69
Bodega Bay,4.18,4.89
Coos Bay,3.19,6.6
Columbia River Mouth,8.77,6.73
Nisqually Beach,4.23,4.28
Commencement Bay,20.6,20.5
Elliott Bay,20.6,20.5
Lutak Inlet,5.5,5.8
Nahku Bay,6.6,5.08
